filename,mark,x.field,x.type,y.aggregate,y.field,y.type,color.field,color.type,x.aggregate,size.field,size.type,size.aggregate,color.aggregate,shape.field,shape.type,column.field,column.type,row.field,row.type,label
stacked_bar_count_normalized.vl.json,43,1,59,24,1,33,1,88,71,0,41,13,98,0,6,0,77,0,82,0
line_encoding_impute_keyvals_normalized.vl.json,94,1,47,7,1,33,1,88,71,0,41,13,98,0,6,0,77,0,82,0
stacked_bar_v.vl.json,43,1,7,16,1,33,1,88,71,0,41,13,98,0,6,0,77,0,82,0
selection_composition_or_normalized.vl.json,96,1,59,7,1,96,0,81,71,0,41,13,98,0,6,0,77,0,82,0
line_max_year_normalized.vl.json,94,1,18,1,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
bar_aggregate_sort_by_encoding.vl.json,43,1,47,7,1,96,0,81,32,0,41,13,98,0,6,0,77,0,82,0
bar_title.vl.json,43,1,59,7,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
bar_normalized.vl.json,43,1,59,7,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
selection_project_single_cylinders_origin.vl.json,37,1,47,7,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
line_inside_domain_using_transform.vl.json,94,1,47,7,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
stacked_bar_h_normalized.vl.json,43,1,47,7,1,9,1,88,32,0,41,13,98,0,6,0,77,0,82,0
selection_composition_or.vl.json,96,1,59,7,1,96,0,81,71,0,41,13,98,0,6,0,77,0,82,0
selection_project_interval_x_normalized.vl.json,96,1,59,7,1,96,0,81,71,0,41,13,98,0,6,0,77,0,82,0
bar_1d_step_config.vl.json,43,1,47,7,0,28,0,81,32,0,41,13,98,0,6,0,77,0,82,0
tick_sort_normalized.vl.json,67,1,47,7,0,28,0,81,71,0,41,13,98,0,6,0,77,0,82,0
line_impute_method_normalized.vl.json,94,1,47,7,1,33,1,88,71,0,41,13,98,0,6,0,77,0,82,0
selection_zoom_scatterplot_wheel_normalized.vl.json,37,1,47,7,1,33,0,81,71,1,68,13,98,0,6,0,77,0,82,0
selection_type_single_dblclick.vl.json,96,1,59,7,1,96,0,81,71,0,41,13,98,0,6,0,77,0,82,0
point_2d_aggregate_normalized.vl.json,37,1,7,46,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
point_dot_timeunit_color.vl.json,37,1,47,7,0,28,1,65,20,0,41,13,98,0,6,0,77,0,82,0
bar_1d_normalized.vl.json,43,1,47,7,0,28,0,81,32,0,41,13,98,0,6,0,77,0,82,0
point_log_normalized.vl.json,37,1,47,7,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
line_impute_transform_value_normalized.vl.json,94,1,47,7,1,33,1,88,71,0,41,13,98,0,6,0,77,0,82,0
point_bubble.vl.json,37,1,47,7,1,33,0,81,71,1,68,13,98,0,6,0,77,0,82,0
selection_project_interval_x.vl.json,96,1,59,7,1,96,0,81,71,0,41,13,98,0,6,0,77,0,82,0
bar_1d.vl.json,43,1,47,7,0,28,0,81,32,0,41,13,98,0,6,0,77,0,82,0
bar_size_step_small.vl.json,43,1,7,24,0,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
selection_toggle_shiftKey_normalized.vl.json,37,1,47,7,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
circle_binned_maxbins_5.vl.json,37,1,47,7,1,33,0,81,71,0,68,91,98,0,6,0,77,0,82,0
selection_project_interval_normalized.vl.json,96,1,59,7,1,96,0,81,71,0,41,13,98,0,6,0,77,0,82,0
line_timeunit_transform_normalized.vl.json,94,1,18,1,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
rule_color_mean.vl.json,93,0,32,77,1,33,1,88,71,0,41,13,98,0,6,0,77,0,82,0
selection_project_single_cylinders_normalized.vl.json,37,1,47,7,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
bar_aggregate_vertical_normalized.vl.json,43,1,59,77,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
stacked_bar_population.vl.json,43,1,59,16,1,33,1,88,71,0,41,13,98,0,6,0,77,0,82,0
bar_yearmonth.vl.json,43,1,18,77,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
selection_type_multi_normalized.vl.json,96,1,59,7,1,96,0,81,71,0,41,13,98,0,6,0,77,0,82,0
rect_heatmap.vl.json,96,1,59,7,1,9,1,99,71,0,41,13,4,0,6,0,77,0,82,0
line_sort_axis_normalized.vl.json,94,1,7,7,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
point_color_with_shape_normalized.vl.json,37,1,47,7,1,33,1,88,71,0,41,13,98,1,70,0,77,0,82,0
selection_project_interval_y.vl.json,96,1,59,7,1,96,0,81,71,0,41,13,98,0,6,0,77,0,82,0
point_1d.vl.json,37,1,47,7,0,28,0,81,71,0,41,13,98,0,6,0,77,0,82,0
interactive_paintbrush_interval_normalized.vl.json,37,1,47,7,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
stacked_area_normalized.vl.json,37,1,18,16,1,33,1,88,71,0,41,13,98,0,6,0,77,0,82,0
line_encoding_impute_keyvals_sequence.vl.json,94,1,47,7,1,33,1,88,71,0,41,13,98,0,6,0,77,0,82,0
interactive_paintbrush_simple_all_normalized.vl.json,37,1,47,7,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
bar_month_band_normalized.vl.json,43,1,18,77,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
facet_custom_header.vl.json,43,1,59,16,1,33,1,88,71,0,41,13,98,0,6,1,75,0,82,0
point_1d_normalized.vl.json,37,1,47,7,0,28,0,81,71,0,41,13,98,0,6,0,77,0,82,0
selection_type_single_mouseover.vl.json,96,1,59,7,1,96,0,81,71,0,41,13,98,0,6,0,77,0,82,0
bar_aggregate_sort_by_encoding_normalized.vl.json,43,1,47,7,1,96,0,81,32,0,41,13,98,0,6,0,77,0,82,0
point_1d_array_normalized.vl.json,37,1,7,7,0,28,0,81,71,0,41,13,98,0,6,0,77,0,82,0
selection_type_interval_invert_normalized.vl.json,96,1,59,7,1,96,0,99,71,0,41,13,59,0,6,0,77,0,82,0
point_ordinal_color_normalized.vl.json,37,1,47,7,1,33,1,12,71,0,41,13,98,0,6,0,77,0,82,0
histogram_bin_change.vl.json,43,1,47,24,0,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
bar_filter_calc.vl.json,43,1,59,7,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
selection_project_single_cylinders_origin_normalized.vl.json,37,1,47,7,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
point_colorramp_size_normalized.vl.json,37,1,47,7,1,33,1,99,71,1,68,13,98,0,6,0,77,0,82,0
selection_project_multi_cylinders_origin.vl.json,37,1,47,7,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
line_calculate_normalized.vl.json,94,1,18,77,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
time_output_utc_scale.vl.json,94,1,18,7,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
circle_binned_maxbins_20.vl.json,37,1,47,7,1,33,0,81,71,0,68,91,98,0,6,0,77,0,82,0
line_calculate.vl.json,94,1,18,77,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
point_2d_normalized.vl.json,37,1,47,7,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
line_normalized.vl.json,94,1,18,7,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
bar_month_temporal.vl.json,43,1,18,77,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
point_color_with_shape.vl.json,37,1,47,7,1,33,1,88,71,0,41,13,98,1,70,0,77,0,82,0
bar_title_start.vl.json,43,1,59,7,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
area_normalized.vl.json,37,1,18,16,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
bar_swap_custom_normalized.vl.json,43,1,47,7,1,9,0,81,67,0,41,13,98,0,6,0,77,0,82,0
line_max_year.vl.json,94,1,18,1,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
test_subobject.vl.json,37,1,47,7,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
selection_bind_cylyr.vl.json,37,1,47,7,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
bar_yearmonth_normalized.vl.json,43,1,18,77,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
trellis_stacked_bar.vl.json,43,1,47,7,1,9,1,88,32,0,41,13,98,0,6,1,48,0,82,0
line_impute_method.vl.json,94,1,47,7,1,33,1,88,71,0,41,13,98,0,6,0,77,0,82,0
line_impute_transform_frame_normalized.vl.json,94,1,47,7,1,33,1,88,71,0,41,13,98,0,6,0,77,0,82,0
bar_size_responsive_normalized.vl.json,43,1,7,24,0,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
trellis_scatter_small.vl.json,37,1,47,7,1,33,0,81,71,0,41,13,98,0,6,1,48,0,82,0
selection_type_single_mouseover_normalized.vl.json,96,1,59,7,1,96,0,81,71,0,41,13,98,0,6,0,77,0,82,0
line_color_normalized.vl.json,94,1,18,7,1,33,1,88,71,0,41,13,98,0,6,0,77,0,82,0
selection_zoom_scatterplot_wheel.vl.json,37,1,47,7,1,33,0,81,71,1,68,13,98,0,6,0,77,0,82,0
area.vl.json,37,1,18,16,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
tick_strip.vl.json,67,1,47,7,1,96,0,81,71,0,41,13,98,0,6,0,77,0,82,0
selection_toggle_altKey_normalized.vl.json,37,1,47,7,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
boxplot_1D_horizontal.vl.json,52,1,47,7,0,28,0,81,71,0,41,13,98,0,6,0,77,0,82,0
line_quarter_legend_normalized.vl.json,94,1,18,77,1,33,1,65,71,0,41,13,98,0,6,0,77,0,82,0
time_output_utc_timeunit.vl.json,94,1,18,7,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
trellis_bar_histogram_label_rotated.vl.json,43,1,47,24,0,33,0,81,71,0,41,13,98,0,6,0,77,1,34,0
bar_aggregate_transform.vl.json,43,1,59,7,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
joinaggregate_percent_of_total_normalized.vl.json,43,1,47,7,1,9,0,81,71,0,41,13,98,0,6,0,77,0,82,0
bar_distinct_normalized.vl.json,43,1,7,58,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
point_color_ordinal_normalized.vl.json,37,1,47,7,1,33,1,12,71,0,41,13,98,0,6,0,77,0,82,0
selection_project_interval_x_y.vl.json,96,1,59,7,1,96,0,81,71,0,41,13,98,0,6,0,77,0,82,0
bar_array_aggregate_normalized.vl.json,43,1,7,46,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
line_encoding_impute_keyvals_sequence_normalized.vl.json,94,1,47,7,1,33,1,88,71,0,41,13,98,0,6,0,77,0,82,0
point_color.vl.json,37,1,47,7,1,33,1,88,71,0,41,13,98,0,6,0,77,0,82,0
bar_argmax_transform_normalized.vl.json,43,1,47,7,1,9,0,81,71,0,41,13,98,0,6,0,77,0,82,0
test_subobject_normalized.vl.json,37,1,47,7,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
point_diverging_color_normalized.vl.json,37,1,47,7,1,33,1,99,71,0,41,13,98,0,6,0,77,0,82,0
selection_project_single_origin_normalized.vl.json,37,1,47,7,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
window_top_k.vl.json,43,1,47,7,1,9,0,81,71,0,41,13,98,0,6,0,77,0,82,0
interactive_paintbrush_simple_none_normalized.vl.json,37,1,47,7,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
point_color_shape_constant_normalized.vl.json,37,1,47,7,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
bar_size_step_small_normalized.vl.json,43,1,7,24,0,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
bar_aggregate_normalized.vl.json,43,1,47,7,1,96,0,81,32,0,41,13,98,0,6,0,77,0,82,0
time_parse_local.vl.json,37,0,32,7,1,96,0,81,71,0,41,13,98,0,6,0,77,0,82,0
point_color_quantitative_normalized.vl.json,37,1,47,7,1,33,1,99,71,0,41,13,98,0,6,0,77,0,82,0
line.vl.json,94,1,18,7,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
bar_custom_sort_full.vl.json,43,1,59,7,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
point_color_custom.vl.json,37,1,47,7,1,33,1,88,71,0,41,13,98,0,6,0,77,0,82,0
selection_project_multi_cylinders_normalized.vl.json,37,1,47,7,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
stacked_area.vl.json,37,1,18,16,1,33,1,88,71,0,41,13,98,0,6,0,77,0,82,0
line_impute_transform_frame.vl.json,94,1,47,7,1,33,1,88,71,0,41,13,98,0,6,0,77,0,82,0
line_impute_transform_value.vl.json,94,1,47,7,1,33,1,88,71,0,41,13,98,0,6,0,77,0,82,0
bar_custom_sort_partial_normalized.vl.json,43,1,59,7,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
line_outside_domain.vl.json,94,1,47,7,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
bar_month_temporal_normalized.vl.json,43,1,18,77,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
test_field_with_spaces_normalized.vl.json,37,1,47,7,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
selection_project_multi_origin.vl.json,37,1,47,7,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
selection_type_single.vl.json,96,1,59,7,1,96,0,81,71,0,41,13,98,0,6,0,77,0,82,0
point_color_custom_normalized.vl.json,37,1,47,7,1,33,1,88,71,0,41,13,98,0,6,0,77,0,82,0
test_single_point_color.vl.json,37,0,32,7,0,28,0,81,71,0,41,13,98,0,6,0,77,0,82,0
bar_aggregate_transform_normalized.vl.json,43,1,59,7,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
circle.vl.json,37,1,47,7,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
selection_zoom_scatterplot_shift-wheel_normalized.vl.json,37,1,47,7,1,33,0,81,71,1,68,13,98,0,6,0,77,0,82,0
stacked_bar_population_normalized.vl.json,43,1,59,16,1,33,1,88,71,0,41,13,98,0,6,0,77,0,82,0
point_bubble_normalized.vl.json,37,1,47,7,1,33,0,81,71,1,68,13,98,0,6,0,77,0,82,0
bar_sort_by_count.vl.json,43,1,7,24,0,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
bar_custom_sort_partial.vl.json,43,1,59,7,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
time_output_utc_scale_normalized.vl.json,94,1,18,7,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
time_parse_utc_format_normalized.vl.json,37,0,32,7,1,96,0,81,71,0,41,13,98,0,6,0,77,0,82,0
circle_binned_maxbins_20_normalized.vl.json,37,1,47,7,1,33,0,81,71,0,68,91,98,0,6,0,77,0,82,0
point_color_ordinal.vl.json,37,1,47,7,1,33,1,12,71,0,41,13,98,0,6,0,77,0,82,0
circle_github_punchcard_normalized.vl.json,37,1,59,7,1,96,0,81,71,1,68,83,98,0,6,0,77,0,82,0
stacked_bar_h.vl.json,43,1,47,7,1,9,1,88,32,0,41,13,98,0,6,0,77,0,82,0
bar_aggregate_size_normalized.vl.json,43,1,59,16,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
bar_custom_sort_full_normalized.vl.json,43,1,59,7,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
point_shape_custom.vl.json,37,1,47,7,1,33,1,88,71,1,68,13,98,0,6,0,77,0,82,0
bar_month_normalized.vl.json,43,1,59,77,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
point_overlap.vl.json,37,0,32,7,0,28,0,81,71,0,41,13,98,0,6,0,77,0,82,0
line_mean_month.vl.json,94,1,18,77,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
selection_composition_and.vl.json,96,1,59,7,1,96,0,81,71,0,41,13,98,0,6,0,77,0,82,0
circle_flatten_normalized.vl.json,37,1,47,7,1,9,1,88,71,0,41,13,98,0,6,0,77,0,82,0
selection_type_interval.vl.json,96,1,59,7,1,96,0,81,71,0,41,13,98,0,6,0,77,0,82,0
circle_binned_maxbins_5_normalized.vl.json,37,1,47,7,1,33,0,81,71,0,68,91,98,0,6,0,77,0,82,0
test_subobject_nested_normalized.vl.json,37,1,47,7,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
interactive_paintbrush_color_normalized.vl.json,37,1,47,7,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
stacked_bar_count.vl.json,43,1,59,24,1,33,1,88,71,0,41,13,98,0,6,0,77,0,82,0
test_aggregate_nested_normalized.vl.json,43,1,47,7,1,9,1,88,32,0,41,13,98,0,6,0,77,0,82,0
line_impute_frame_normalized.vl.json,94,1,47,7,1,33,1,88,71,0,41,13,98,0,6,0,77,0,82,0
selection_toggle_altKey_shiftKey.vl.json,37,1,47,7,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
point_2d_array_named_normalized.vl.json,37,1,7,7,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
